model	seed	file	date	weed_instances	crop_instances	candidates	accepted_candidates	eligible_weed_candidates	all_candidate_precision	many_to_one_spatial_recalled	many_to_one_role_qualified_recalled	one_to_one_role_qualified_recalled	crop_overlap_scene	maximum_crop_fraction
maskrcnn	20260822	2023-06-06_0166	2023-06-06	76	0	100	20	19	0.95	19	18	18	0	0.0
maskrcnn	20260822	2023-06-06_0176	2023-06-06	150	7	100	20	20	1.0	20	20	20	1	0.008522727272727272
maskrcnn	20260822	2023-06-06_0231	2023-06-06	65	8	87	20	20	1.0	21	21	20	0	0.0
maskrcnn	20260822	2023-06-06_0667	2023-06-06	95	11	100	20	20	1.0	20	20	20	0	0.0
maskrcnn	20260822	2023-06-06_0670	2023-06-06	96	11	94	20	20	1.0	22	22	20	0	0.0
maskrcnn	20260822	2023-06-06_0736	2023-06-06	69	11	95	20	19	0.95	20	19	19	1	0.13489208633093525
maskrcnn	20260822	2023-06-06_0770	2023-06-06	74	10	92	20	19	0.95	21	20	19	1	0.10989010989010989
maskrcnn	20260822	2023-06-15_0169	2023-06-15	80	4	100	20	20	1.0	10	10	10	0	0.0
maskrcnn	20260822	2023-06-15_0735	2023-06-15	74	7	100	20	20	1.0	14	14	14	0	0.0
unet	20260810	2023-05-25_0109	2023-05-25	17	5	12	12	1	0.08333333333333333	4	1	1	1	0.7743589743589744
unet	20260810	2023-05-25_0114	2023-05-25	17	11	23	20	7	0.35	5	5	5	1	0.9166666666666666
unet	20260810	2023-05-25_0170	2023-05-25	16	10	23	20	1	0.05	3	1	1	1	0.8391608391608392
unet	20260810	2023-05-25_0183	2023-05-25	9	10	17	17	2	0.11764705882352941	3	2	2	1	0.8601398601398601
unet	20260810	2023-05-25_0681	2023-05-25	69	25	35	20	8	0.4	8	7	7	1	0.8125
unet	20260810	2023-05-25_0685	2023-05-25	114	23	44	20	17	0.85	21	20	17	0	0.0
unet	20260810	2023-05-25_0750	2023-05-25	74	13	21	20	7	0.35	9	8	7	1	0.963302752293578
unet	20260810	2023-05-25_0786	2023-05-25	76	25	44	20	12	0.6	15	11	11	1	0.6066350710900474
unet	20260810	2023-05-30_0039	2023-05-30	43	0	33	20	6	0.3	19	6	6	0	0.0
unet	20260810	2023-05-30_0044	2023-05-30	46	11	55	20	18	0.9	19	18	18	0	0.0
unet	20260810	2023-05-30_0099	2023-05-30	52	1	43	20	17	0.85	18	17	17	0	0.0
unet	20260810	2023-05-30_0114	2023-05-30	35	5	35	20	13	0.65	16	13	12	0	0.0
unet	20260810	2023-05-30_0649	2023-05-30	93	6	79	20	20	1.0	26	26	20	0	0.0
unet	20260810	2023-05-30_0652	2023-05-30	55	5	43	20	19	0.95	21	21	19	0	0.0
unet	20260810	2023-05-30_0720	2023-05-30	49	13	51	20	20	1.0	25	25	20	0	0.0
unet	20260810	2023-05-30_0750	2023-05-30	67	14	66	20	20	1.0	22	22	20	0	0.0
unet	20260810	2023-06-06_0161	2023-06-06	101	10	84	20	20	1.0	24	24	20	0	0.0
unet	20260810	2023-06-06_0166	2023-06-06	76	0	83	20	18	0.9	25	23	18	0	0.0
unet	20260810	2023-06-06_0176	2023-06-06	150	7	107	20	19	0.95	24	23	19	0	0.0
unet	20260810	2023-06-06_0231	2023-06-06	65	8	62	20	18	0.9	24	23	18	0	0.0
unet	20260810	2023-06-06_0667	2023-06-06	95	11	53	20	19	0.95	24	23	19	0	0.0
unet	20260810	2023-06-06_0670	2023-06-06	96	11	62	20	19	0.95	30	30	19	0	0.0
unet	20260810	2023-06-06_0736	2023-06-06	69	11	44	20	20	1.0	24	24	19	0	0.0
unet	20260810	2023-06-06_0770	2023-06-06	74	10	54	20	20	1.0	23	23	20	0	0.0
unet	20260810	2023-06-15_0169	2023-06-15	80	4	35	20	16	0.8	27	27	14	0	0.0
unet	20260810	2023-06-15_0735	2023-06-15	74	7	28	20	5	0.25	4	4	4	0	0.0
unet	20260811	2023-05-25_0109	2023-05-25	17	5	13	13	1	0.07692307692307693	4	1	1	1	0.8111111111111111
unet	20260811	2023-05-25_0114	2023-05-25	17	11	22	20	7	0.35	6	6	6	1	1.0
unet	20260811	2023-05-25_0170	2023-05-25	16	10	16	16	1	0.0625	1	1	1	1	0.8195488721804511
unet	20260811	2023-05-25_0183	2023-05-25	9	10	16	16	2	0.125	3	2	2	1	0.8502994011976048
unet	20260811	2023-05-25_0681	2023-05-25	69	25	32	20	4	0.2	4	2	2	1	0.8571428571428571
unet	20260811	2023-05-25_0685	2023-05-25	114	23	36	20	10	0.5	12	11	8	1	0.8173913043478261
unet	20260811	2023-05-25_0750	2023-05-25	74	13	24	20	10	0.5	9	8	8	1	1.0
unet	20260811	2023-05-25_0786	2023-05-25	76	25	37	20	13	0.65	12	12	12	1	0.9096045197740112
unet	20260811	2023-05-30_0039	2023-05-30	43	0	26	20	11	0.55	19	10	10	0	0.0
unet	20260811	2023-05-30_0044	2023-05-30	46	11	46	20	17	0.85	18	16	16	0	0.0
unet	20260811	2023-05-30_0099	2023-05-30	52	1	40	20	19	0.95	18	17	17	0	0.0
