seed	policy	file	date	weed_instances	accepted_candidates	role_qualified_candidates	candidate_precision	many_to_one_qualified_recalled	one_to_one_qualified_recalled	many_to_one_qualified_recall	one_to_one_qualified_recall	crop_overlap_scene
20260811	global_top_equal_fixed_budget	2023-05-25_0786	2023-05-25	76	1	1	1.0	1	1	0.013157894736842105	0.013157894736842105	0
20260811	global_top_equal_fixed_budget	2023-05-30_0039	2023-05-30	43	3	3	1.0	3	3	0.06976744186046512	0.06976744186046512	0
20260811	global_top_equal_fixed_budget	2023-05-30_0044	2023-05-30	46	11	11	1.0	11	11	0.2391304347826087	0.2391304347826087	0
20260811	global_top_equal_fixed_budget	2023-05-30_0099	2023-05-30	52	21	20	0.9523809523809523	18	18	0.34615384615384615	0.34615384615384615	0
20260811	global_top_equal_fixed_budget	2023-05-30_0114	2023-05-30	35	7	4	0.5714285714285714	5	4	0.14285714285714285	0.11428571428571428	0
20260811	global_top_equal_fixed_budget	2023-05-30_0649	2023-05-30	93	52	50	0.9615384615384616	57	48	0.6129032258064516	0.5161290322580645	0
20260811	global_top_equal_fixed_budget	2023-05-30_0652	2023-05-30	55	27	25	0.9259259259259259	25	22	0.45454545454545453	0.4	0
20260811	global_top_equal_fixed_budget	2023-05-30_0720	2023-05-30	49	22	22	1.0	25	21	0.5102040816326531	0.42857142857142855	0
20260811	global_top_equal_fixed_budget	2023-05-30_0750	2023-05-30	67	28	28	1.0	32	28	0.47761194029850745	0.417910447761194	0
20260811	global_top_equal_fixed_budget	2023-06-06_0161	2023-06-06	101	47	47	1.0	56	45	0.5544554455445545	0.44554455445544555	0
20260811	global_top_equal_fixed_budget	2023-06-06_0166	2023-06-06	76	18	17	0.9444444444444444	22	17	0.2894736842105263	0.2236842105263158	0
20260811	global_top_equal_fixed_budget	2023-06-06_0176	2023-06-06	150	58	55	0.9482758620689655	85	53	0.5666666666666667	0.35333333333333333	0
20260811	global_top_equal_fixed_budget	2023-06-06_0231	2023-06-06	65	36	32	0.8888888888888888	36	31	0.5538461538461539	0.47692307692307695	0
20260811	global_top_equal_fixed_budget	2023-06-06_0667	2023-06-06	95	32	30	0.9375	38	30	0.4	0.3157894736842105	0
20260811	global_top_equal_fixed_budget	2023-06-06_0670	2023-06-06	96	40	39	0.975	51	38	0.53125	0.3958333333333333	0
20260811	global_top_equal_fixed_budget	2023-06-06_0736	2023-06-06	69	31	30	0.967741935483871	53	28	0.7681159420289855	0.4057971014492754	0
20260811	global_top_equal_fixed_budget	2023-06-06_0770	2023-06-06	74	41	40	0.975609756097561	56	40	0.7567567567567568	0.5405405405405406	0
20260811	global_top_equal_fixed_budget	2023-06-15_0169	2023-06-15	80	19	16	0.8421052631578947	25	15	0.3125	0.1875	0
20260811	global_top_equal_fixed_budget	2023-06-15_0735	2023-06-15	74	4	3	0.75	2	2	0.02702702702702703	0.02702702702702703	0
20260811	validation_global_top520_score_threshold	2023-05-25_0109	2023-05-25	17	0	0	0.0	0	0	0.0	0.0	0
20260811	validation_global_top520_score_threshold	2023-05-25_0114	2023-05-25	17	0	0	0.0	0	0	0.0	0.0	0
20260811	validation_global_top520_score_threshold	2023-05-25_0170	2023-05-25	16	1	0	0.0	0	0	0.0	0.0	0
20260811	validation_global_top520_score_threshold	2023-05-25_0183	2023-05-25	9	0	0	0.0	0	0	0.0	0.0	0
20260811	validation_global_top520_score_threshold	2023-05-25_0681	2023-05-25	69	0	0	0.0	0	0	0.0	0.0	0
20260811	validation_global_top520_score_threshold	2023-05-25_0685	2023-05-25	114	1	1	1.0	1	1	0.008771929824561403	0.008771929824561403	0
20260811	validation_global_top520_score_threshold	2023-05-25_0750	2023-05-25	74	1	1	1.0	1	1	0.013513513513513514	0.013513513513513514	0
20260811	validation_global_top520_score_threshold	2023-05-25_0786	2023-05-25	76	1	1	1.0	1	1	0.013157894736842105	0.013157894736842105	0
20260811	validation_global_top520_score_threshold	2023-05-30_0039	2023-05-30	43	1	1	1.0	1	1	0.023255813953488372	0.023255813953488372	0
20260811	validation_global_top520_score_threshold	2023-05-30_0044	2023-05-30	46	6	6	1.0	6	6	0.13043478260869565	0.13043478260869565	0
20260811	validation_global_top520_score_threshold	2023-05-30_0099	2023-05-30	52	15	14	0.9333333333333333	13	13	0.25	0.25	0
20260811	validation_global_top520_score_threshold	2023-05-30_0114	2023-05-30	35	5	4	0.8	5	4	0.14285714285714285	0.11428571428571428	0
20260811	validation_global_top520_score_threshold	2023-05-30_0649	2023-05-30	93	39	37	0.9487179487179487	44	35	0.4731182795698925	0.3763440860215054	0
20260811	validation_global_top520_score_threshold	2023-05-30_0652	2023-05-30	55	19	19	1.0	21	18	0.38181818181818183	0.32727272727272727	0
20260811	validation_global_top520_score_threshold	2023-05-30_0720	2023-05-30	49	19	19	1.0	23	19	0.46938775510204084	0.3877551020408163	0
20260811	validation_global_top520_score_threshold	2023-05-30_0750	2023-05-30	67	21	21	1.0	24	21	0.3582089552238806	0.31343283582089554	0
20260811	validation_global_top520_score_threshold	2023-06-06_0161	2023-06-06	101	32	32	1.0	40	31	0.39603960396039606	0.3069306930693069	0
20260811	validation_global_top520_score_threshold	2023-06-06_0166	2023-06-06	76	6	6	1.0	6	6	0.07894736842105263	0.07894736842105263	0
