repeat	seed	k	aggregation	stratum	images	accepted_candidates	weed_candidates	all_candidate_queue_precision	weed_truth_instances	spatial_recalled_weed_instances	queued_spatial_weed_instance_recall	role_qualified_recalled_weed_instances	queued_role_qualified_weed_instance_recall	one_to_one_spatial_matches	one_to_one_spatial_recall	one_to_one_role_qualified_matches	one_to_one_role_qualified_recall	crop_overlap_scene_numerator_0.00	crop_overlap_scene_frequency_0.00	crop_overlap_scene_numerator_0.01	crop_overlap_scene_frequency_0.01	crop_overlap_scene_numerator_0.10	crop_overlap_scene_frequency_0.10	crop_overlap_scene_numerator_0.50	crop_overlap_scene_frequency_0.50
65	2026081000	20	pooled_test	ALL	26	520	138	0.2653846153846154	1712	317	0.1851635514018691	151	0.0882009345794392	165	0.0963785046728972	110	0.0642523364485981	19	0.7307692307692307	19	0.7307692307692307	19	0.7307692307692307	11	0.4230769230769231
66	2026081000	20	pooled_test	ALL	26	520	132	0.2538461538461538	1712	334	0.1950934579439252	146	0.0852803738317757	156	0.0911214953271028	99	0.0578271028037383	17	0.6538461538461539	17	0.6538461538461539	17	0.6538461538461539	10	0.3846153846153846
67	2026081000	20	pooled_test	ALL	26	520	137	0.2634615384615384	1712	334	0.1950934579439252	139	0.0811915887850467	160	0.0934579439252336	105	0.0613317757009345	19	0.7307692307692307	19	0.7307692307692307	19	0.7307692307692307	14	0.5384615384615384
68	2026081000	20	pooled_test	ALL	26	520	142	0.273076923076923	1712	360	0.2102803738317757	162	0.094626168224299	166	0.0969626168224299	106	0.0619158878504672	22	0.8461538461538461	22	0.8461538461538461	22	0.8461538461538461	14	0.5384615384615384
69	2026081000	20	pooled_test	ALL	26	520	148	0.2846153846153846	1712	328	0.1915887850467289	165	0.0963785046728972	163	0.0952102803738317	116	0.0677570093457943	21	0.8076923076923077	21	0.8076923076923077	21	0.8076923076923077	14	0.5384615384615384
70	2026081000	20	pooled_test	ALL	26	520	140	0.2692307692307692	1712	351	0.2050233644859813	169	0.098714953271028	179	0.1045560747663551	113	0.0660046728971962	20	0.7692307692307693	20	0.7692307692307693	20	0.7692307692307693	14	0.5384615384615384
71	2026081000	20	pooled_test	ALL	26	520	143	0.275	1712	360	0.2102803738317757	173	0.1010514018691588	173	0.1010514018691588	113	0.0660046728971962	19	0.7307692307692307	19	0.7307692307692307	19	0.7307692307692307	13	0.5
72	2026081000	20	pooled_test	ALL	26	520	141	0.2711538461538461	1712	338	0.197429906542056	168	0.0981308411214953	176	0.102803738317757	115	0.0671728971962616	20	0.7692307692307693	20	0.7692307692307693	20	0.7692307692307693	17	0.6538461538461539
73	2026081000	20	pooled_test	ALL	26	520	140	0.2692307692307692	1712	286	0.1670560747663551	152	0.0887850467289719	157	0.0917056074766355	108	0.0630841121495327	20	0.7692307692307693	20	0.7692307692307693	20	0.7692307692307693	14	0.5384615384615384
74	2026081000	20	pooled_test	ALL	26	520	136	0.2615384615384615	1712	350	0.2044392523364486	149	0.0870327102803738	165	0.0963785046728972	102	0.0595794392523364	23	0.8846153846153846	23	0.8846153846153846	23	0.8846153846153846	17	0.6538461538461539
75	2026081000	20	pooled_test	ALL	26	520	149	0.2865384615384615	1712	278	0.1623831775700934	143	0.0835280373831775	163	0.0952102803738317	107	0.0625	21	0.8076923076923077	21	0.8076923076923077	21	0.8076923076923077	17	0.6538461538461539
76	2026081000	20	pooled_test	ALL	26	520	134	0.2576923076923076	1712	324	0.1892523364485981	144	0.0841121495327102	159	0.0928738317757009	102	0.0595794392523364	21	0.8076923076923077	21	0.8076923076923077	21	0.8076923076923077	15	0.5769230769230769
77	2026081000	20	pooled_test	ALL	26	520	139	0.2673076923076923	1712	312	0.1822429906542056	157	0.0917056074766355	159	0.0928738317757009	104	0.0607476635514018	21	0.8076923076923077	21	0.8076923076923077	21	0.8076923076923077	12	0.4615384615384615
78	2026081000	20	pooled_test	ALL	26	520	159	0.3057692307692308	1712	301	0.1758177570093458	178	0.1039719626168224	173	0.1010514018691588	127	0.0741822429906542	19	0.7307692307692307	19	0.7307692307692307	19	0.7307692307692307	16	0.6153846153846154
