model	seed	file	date	weed_instances	accepted_candidates	eligible_candidates	spatial_recalled	set_coverage_recalled	one_to_one_recalled	candidate_precision	spatial_recall	set_coverage_recall	one_to_one_recall	crop_exposure_at_0.00	crop_exposure_at_0.01	crop_exposure_at_0.10	AR100_IoU_0.50	AR20_IoU_0.50	AR100_IoU_0.55	AR20_IoU_0.55	AR100_IoU_0.60	AR20_IoU_0.60	AR100_IoU_0.65	AR20_IoU_0.65	AR100_IoU_0.70	AR20_IoU_0.70	AR100_IoU_0.75	AR20_IoU_0.75	AR100_IoU_0.80	AR20_IoU_0.80	AR100_IoU_0.85	AR20_IoU_0.85	AR100_IoU_0.90	AR20_IoU_0.90	AR100_IoU_0.95	AR20_IoU_0.95
DeepLabV3+--ResNet50	20260821	2023-05-30_0099	2023-05-30	52	20	16	16	14	14	0.8	0.3076923076923077	0.2692307692307692	0.2692307692307692	0	0	0	0.3269230769230769	0.19230769230769232	0.21153846153846154	0.17307692307692307	0.1346153846153846	0.09615384615384616	0.057692307692307696	0.038461538461538464	0.019230769230769232	0.019230769230769232	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DeepLabV3+--ResNet50	20260821	2023-05-25_0170	2023-05-25	16	20	2	1	1	1	0.1	0.0625	0.0625	0.0625	1	1	1	0.0625	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DeepLabV3+--ResNet50	20260821	2023-06-06_0161	2023-06-06	101	20	19	24	23	17	0.95	0.2376237623762376	0.22772277227722773	0.16831683168316833	0	0	0	0.4158415841584158	0.10891089108910891	0.32673267326732675	0.07920792079207921	0.24752475247524752	0.06930693069306931	0.12871287128712872	0.06930693069306931	0.09900990099009901	0.04950495049504951	0.06930693069306931	0.039603960396039604	0.039603960396039604	0.019801980198019802	0.0	0.0	0.0	0.0	0.0	0.0
DeepLabV3+--ResNet50	20260821	2023-05-30_0044	2023-05-30	46	20	15	17	14	14	0.75	0.3695652173913043	0.30434782608695654	0.30434782608695654	0	0	0	0.45652173913043476	0.2608695652173913	0.391304347826087	0.21739130434782608	0.2826086956521739	0.10869565217391304	0.17391304347826086	0.08695652173913043	0.13043478260869565	0.06521739130434782	0.06521739130434782	0.06521739130434782	0.043478260869565216	0.043478260869565216	0.0	0.0	0.0	0.0	0.0	0.0
DeepLabV3+--ResNet50	20260821	2023-05-25_0114	2023-05-25	17	20	8	6	6	6	0.4	0.35294117647058826	0.35294117647058826	0.35294117647058826	1	1	1	0.17647058823529413	0.17647058823529413	0.17647058823529413	0.17647058823529413	0.17647058823529413	0.17647058823529413	0.058823529411764705	0.058823529411764705	0.058823529411764705	0.058823529411764705	0.058823529411764705	0.058823529411764705	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DeepLabV3+--ResNet50	20260821	2023-06-06_0231	2023-06-06	65	20	15	24	20	14	0.75	0.36923076923076925	0.3076923076923077	0.2153846153846154	0	0	0	0.36923076923076925	0.12307692307692308	0.24615384615384617	0.09230769230769231	0.13846153846153847	0.046153846153846156	0.1076923076923077	0.046153846153846156	0.09230769230769231	0.046153846153846156	0.07692307692307693	0.046153846153846156	0.015384615384615385	0.015384615384615385	0.0	0.0	0.0	0.0	0.0	0.0
DeepLabV3+--ResNet50	20260821	2023-05-30_0114	2023-05-30	35	20	13	16	12	11	0.65	0.45714285714285713	0.34285714285714286	0.3142857142857143	0	0	0	0.2	0.17142857142857143	0.17142857142857143	0.14285714285714285	0.17142857142857143	0.14285714285714285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DeepLabV3+--ResNet50	20260821	2023-05-25_0183	2023-05-25	9	17	3	3	3	3	0.17647058823529413	0.3333333333333333	0.3333333333333333	0.3333333333333333	1	1	1	0.3333333333333333	0.3333333333333333	0.2222222222222222	0.2222222222222222	0.1111111111111111	0.1111111111111111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DeepLabV3+--ResNet50	20260821	2023-06-06_0166	2023-06-06	76	20	11	15	10	10	0.55	0.19736842105263158	0.13157894736842105	0.13157894736842105	0	0	0	0.39473684210526316	0.09210526315789473	0.17105263157894737	0.05263157894736842	0.09210526315789473	0.02631578947368421	0.02631578947368421	0.0	0.013157894736842105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DeepLabV3+--ResNet50	20260821	2023-05-30_0039	2023-05-30	43	20	5	16	5	5	0.25	0.37209302325581395	0.11627906976744186	0.11627906976744186	0	0	0	0.16279069767441862	0.09302325581395349	0.09302325581395349	0.046511627906976744	0.046511627906976744	0.023255813953488372	0.046511627906976744	0.023255813953488372	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DeepLabV3+--ResNet50	20260821	2023-05-25_0109	2023-05-25	17	13	1	4	0	0	0.07692307692307693	0.23529411764705882	0.0	0.0	1	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
