model	instance_coverage	candidate_labeled_coverage	same_role_purity	seeds	mean_candidate_precision	sd_candidate_precision	mean_spatial_recall	sd_spatial_recall	mean_set_coverage_recall	sd_set_coverage_recall	mean_one_to_one_recall	sd_one_to_one_recall	mean_crop_exposure_scene_frequency_at_0.00	sd_crop_exposure_scene_frequency_at_0.00	mean_crop_exposure_scene_frequency_at_0.01	sd_crop_exposure_scene_frequency_at_0.01	mean_crop_exposure_scene_frequency_at_0.10	sd_crop_exposure_scene_frequency_at_0.10
ResNet18--U-Net	0.25	0.5	0.75	5	0.7168326584811308	0.026049410332152332	0.2808411214953271	0.02211695744295135	0.25712616822429907	0.024138041457807086	0.2102803738317757	0.005175246830218846	0.24615384615384617	0.04385290096535146	0.24615384615384617	0.04385290096535146	0.23846153846153845	0.05014771080925114
ResNet18--U-Net	0.25	0.5	0.9	5	0.7168326584811308	0.026049410332152332	0.2808411214953271	0.02211695744295135	0.25712616822429907	0.024138041457807086	0.2102803738317757	0.005175246830218846	0.24615384615384617	0.04385290096535146	0.24615384615384617	0.04385290096535146	0.23846153846153845	0.05014771080925114
ResNet18--U-Net	0.25	0.75	0.5	5	0.40351420219940765	0.04866810326443608	0.2808411214953271	0.02211695744295135	0.14929906542056073	0.024513928057168528	0.11799065420560748	0.01303499626426484	0.24615384615384617	0.04385290096535146	0.24615384615384617	0.04385290096535146	0.23846153846153845	0.05014771080925114
ResNet18--U-Net	0.25	0.75	0.75	5	0.40351420219940765	0.04866810326443608	0.2808411214953271	0.02211695744295135	0.14929906542056073	0.024513928057168528	0.11799065420560748	0.01303499626426484	0.24615384615384617	0.04385290096535146	0.24615384615384617	0.04385290096535146	0.23846153846153845	0.05014771080925114
ResNet18--U-Net	0.25	0.75	0.9	5	0.40351420219940765	0.04866810326443608	0.2808411214953271	0.02211695744295135	0.14929906542056073	0.024513928057168528	0.11799065420560748	0.01303499626426484	0.24615384615384617	0.04385290096535146	0.24615384615384617	0.04385290096535146	0.23846153846153845	0.05014771080925114
ResNet18--U-Net	0.5	0.25	0.5	5	0.7890503584009786	0.020238309384299703	0.2668224299065421	0.021094456371635043	0.26623831775700935	0.021005309628264583	0.22102803738317758	0.00696784834506853	0.24615384615384617	0.04385290096535146	0.24615384615384617	0.04385290096535146	0.23846153846153845	0.05014771080925114
ResNet18--U-Net	0.5	0.25	0.75	5	0.7878692346258253	0.0195712112208829	0.2668224299065421	0.021094456371635043	0.2658878504672897	0.020764344824335982	0.22067757009345795	0.006953143056052795	0.24615384615384617	0.04385290096535146	0.24615384615384617	0.04385290096535146	0.23846153846153845	0.05014771080925114
ResNet18--U-Net	0.5	0.25	0.9	5	0.7878692346258253	0.0195712112208829	0.2668224299065421	0.021094456371635043	0.2658878504672897	0.020764344824335982	0.22067757009345795	0.006953143056052795	0.24615384615384617	0.04385290096535146	0.24615384615384617	0.04385290096535146	0.23846153846153845	0.05014771080925114
ResNet18--U-Net	0.5	0.5	0.5	5	0.7180137822562842	0.026856774832266093	0.2668224299065421	0.021094456371635043	0.247196261682243	0.023325756451905894	0.20303738317757009	0.005922332642820826	0.24615384615384617	0.04385290096535146	0.24615384615384617	0.04385290096535146	0.23846153846153845	0.05014771080925114
ResNet18--U-Net	0.5	0.5	0.75	5	0.7168326584811308	0.026049410332152332	0.2668224299065421	0.021094456371635043	0.24684579439252335	0.023072799594814182	0.20268691588785046	0.005737991444038692	0.24615384615384617	0.04385290096535146	0.24615384615384617	0.04385290096535146	0.23846153846153845	0.05014771080925114
ResNet18--U-Net	0.5	0.5	0.9	5	0.7168326584811308	0.026049410332152332	0.2668224299065421	0.021094456371635043	0.24684579439252335	0.023072799594814182	0.20268691588785046	0.005737991444038692	0.24615384615384617	0.04385290096535146	0.24615384615384617	0.04385290096535146	0.23846153846153845	0.05014771080925114
ResNet18--U-Net	0.5	0.75	0.5	5	0.40351420219940765	0.04866810326443608	0.2668224299065421	0.021094456371635043	0.14404205607476633	0.022363182003844174	0.11436915887850467	0.010196061979249934	0.24615384615384617	0.04385290096535146	0.24615384615384617	0.04385290096535146	0.23846153846153845	0.05014771080925114
ResNet18--U-Net	0.5	0.75	0.75	5	0.40351420219940765	0.04866810326443608	0.2668224299065421	0.021094456371635043	0.14404205607476633	0.022363182003844174	0.11436915887850467	0.010196061979249934	0.24615384615384617	0.04385290096535146	0.24615384615384617	0.04385290096535146	0.23846153846153845	0.05014771080925114
ResNet18--U-Net	0.5	0.75	0.9	5	0.40351420219940765	0.04866810326443608	0.2668224299065421	0.021094456371635043	0.14404205607476633	0.022363182003844174	0.11436915887850467	0.010196061979249934	0.24615384615384617	0.04385290096535146	0.24615384615384617	0.04385290096535146	0.23846153846153845	0.05014771080925114
