variant	global_N	images	weed_instances	accepted_candidates	mean_candidates_per_image	all_candidate_precision	many_to_one_spatial_recall	many_to_one_role_qualified_recall	one_to_one_role_qualified_recall	crop_overlap_scene_frequency
original_T095_A032	84	26	1712	84	3.230769230769231	0.7738095238095238	0.08936915887850468	0.035630841121495324	0.02219626168224299	0.38461538461538464
commissioned_T070_A032	84	26	1712	84	3.230769230769231	0.8333333333333334	0.12149532710280374	0.053738317757009345	0.035046728971962614	0.23076923076923078
original_T095_A032	85	26	1712	85	3.269230769230769	0.7647058823529411	0.08936915887850468	0.035630841121495324	0.02219626168224299	0.38461538461538464
commissioned_T070_A032	85	26	1712	85	3.269230769230769	0.8235294117647058	0.12149532710280374	0.053738317757009345	0.035046728971962614	0.2692307692307692
original_T095_A032	86	26	1712	86	3.3076923076923075	0.7674418604651163	0.08936915887850468	0.035630841121495324	0.02219626168224299	0.38461538461538464
commissioned_T070_A032	86	26	1712	86	3.3076923076923075	0.8255813953488372	0.12207943925233646	0.054322429906542055	0.035630841121495324	0.2692307692307692
original_T095_A032	87	26	1712	87	3.3461538461538463	0.7701149425287356	0.08995327102803738	0.036214953271028034	0.0227803738317757	0.38461538461538464
commissioned_T070_A032	87	26	1712	87	3.3461538461538463	0.8275862068965517	0.12266355140186916	0.054906542056074766	0.036214953271028034	0.2692307692307692
original_T095_A032	88	26	1712	88	3.3846153846153846	0.7727272727272727	0.0911214953271028	0.037383177570093455	0.02336448598130841	0.38461538461538464
commissioned_T070_A032	88	26	1712	88	3.3846153846153846	0.8295454545454546	0.12324766355140188	0.055490654205607476	0.036799065420560745	0.2692307692307692
original_T095_A032	89	26	1712	89	3.423076923076923	0.7752808988764045	0.0911214953271028	0.037383177570093455	0.02336448598130841	0.38461538461538464
commissioned_T070_A032	89	26	1712	89	3.423076923076923	0.8202247191011236	0.12324766355140188	0.055490654205607476	0.036799065420560745	0.3076923076923077
original_T095_A032	90	26	1712	90	3.4615384615384617	0.7666666666666667	0.0911214953271028	0.037383177570093455	0.02336448598130841	0.38461538461538464
