model	seed	instance_coverage	candidate_labeled_coverage	same_role_purity	weed_instances	accepted_candidates	candidate_precision	spatial_recall	set_coverage_recall	one_to_one_recall	crop_exposure_scene_frequency_at_0.00	crop_exposure_scene_frequency_at_0.01	crop_exposure_scene_frequency_at_0.10
DeepLabV3+--ResNet50	20260821	0.5	0.25	0.75	1712	510	0.7745098039215687	0.2587616822429907	0.2570093457943925	0.21261682242990654	0.23076923076923078	0.23076923076923078	0.23076923076923078
DeepLabV3+--ResNet50	20260821	0.5	0.25	0.9	1712	510	0.7745098039215687	0.2587616822429907	0.2570093457943925	0.21261682242990654	0.23076923076923078	0.23076923076923078	0.23076923076923078
DeepLabV3+--ResNet50	20260821	0.5	0.5	0.5	1712	510	0.6862745098039216	0.2587616822429907	0.231892523364486	0.1886682242990654	0.23076923076923078	0.23076923076923078	0.23076923076923078
DeepLabV3+--ResNet50	20260821	0.5	0.5	0.75	1712	510	0.6862745098039216	0.2587616822429907	0.231892523364486	0.1886682242990654	0.23076923076923078	0.23076923076923078	0.23076923076923078
DeepLabV3+--ResNet50	20260821	0.5	0.5	0.9	1712	510	0.6862745098039216	0.2587616822429907	0.231892523364486	0.1886682242990654	0.23076923076923078	0.23076923076923078	0.23076923076923078
DeepLabV3+--ResNet50	20260821	0.5	0.75	0.5	1712	510	0.30980392156862746	0.2587616822429907	0.10922897196261683	0.08411214953271028	0.23076923076923078	0.23076923076923078	0.23076923076923078
DeepLabV3+--ResNet50	20260821	0.5	0.75	0.75	1712	510	0.30980392156862746	0.2587616822429907	0.10922897196261683	0.08411214953271028	0.23076923076923078	0.23076923076923078	0.23076923076923078
DeepLabV3+--ResNet50	20260821	0.5	0.75	0.9	1712	510	0.30980392156862746	0.2587616822429907	0.10922897196261683	0.08411214953271028	0.23076923076923078	0.23076923076923078	0.23076923076923078
DeepLabV3+--ResNet50	20260821	0.75	0.25	0.5	1712	510	0.7745098039215687	0.20619158878504673	0.2050233644859813	0.16822429906542055	0.23076923076923078	0.23076923076923078	0.23076923076923078
DeepLabV3+--ResNet50	20260821	0.75	0.25	0.75	1712	510	0.7745098039215687	0.20619158878504673	0.2050233644859813	0.16822429906542055	0.23076923076923078	0.23076923076923078	0.23076923076923078
DeepLabV3+--ResNet50	20260821	0.75	0.25	0.9	1712	510	0.7745098039215687	0.20619158878504673	0.2050233644859813	0.16822429906542055	0.23076923076923078	0.23076923076923078	0.23076923076923078
DeepLabV3+--ResNet50	20260821	0.75	0.5	0.5	1712	510	0.6862745098039216	0.20619158878504673	0.18516355140186916	0.14894859813084113	0.23076923076923078	0.23076923076923078	0.23076923076923078
DeepLabV3+--ResNet50	20260821	0.75	0.5	0.75	1712	510	0.6862745098039216	0.20619158878504673	0.18516355140186916	0.14894859813084113	0.23076923076923078	0.23076923076923078	0.23076923076923078
DeepLabV3+--ResNet50	20260821	0.75	0.5	0.9	1712	510	0.6862745098039216	0.20619158878504673	0.18516355140186916	0.14894859813084113	0.23076923076923078	0.23076923076923078	0.23076923076923078
DeepLabV3+--ResNet50	20260821	0.75	0.75	0.5	1712	510	0.30980392156862746	0.20619158878504673	0.09170560747663552	0.06775700934579439	0.23076923076923078	0.23076923076923078	0.23076923076923078
DeepLabV3+--ResNet50	20260821	0.75	0.75	0.75	1712	510	0.30980392156862746	0.20619158878504673	0.09170560747663552	0.06775700934579439	0.23076923076923078	0.23076923076923078	0.23076923076923078
DeepLabV3+--ResNet50	20260821	0.75	0.75	0.9	1712	510	0.30980392156862746	0.20619158878504673	0.09170560747663552	0.06775700934579439	0.23076923076923078	0.23076923076923078	0.23076923076923078
DeepLabV3+--ResNet50	20260822	0.25	0.25	0.5	1712	513	0.7777777777777778	0.29439252336448596	0.29264018691588783	0.23014018691588786	0.23076923076923078	0.23076923076923078	0.23076923076923078
DeepLabV3+--ResNet50	20260822	0.25	0.25	0.75	1712	513	0.7777777777777778	0.29439252336448596	0.29264018691588783	0.23014018691588786	0.23076923076923078	0.23076923076923078	0.23076923076923078
DeepLabV3+--ResNet50	20260822	0.25	0.25	0.9	1712	513	0.7777777777777778	0.29439252336448596	0.29264018691588783	0.23014018691588786	0.23076923076923078	0.23076923076923078	0.23076923076923078
DeepLabV3+--ResNet50	20260822	0.25	0.5	0.5	1712	513	0.6783625730994152	0.29439252336448596	0.2605140186915888	0.20093457943925233	0.23076923076923078	0.23076923076923078	0.23076923076923078
DeepLabV3+--ResNet50	20260822	0.25	0.5	0.75	1712	513	0.6783625730994152	0.29439252336448596	0.2605140186915888	0.20093457943925233	0.23076923076923078	0.23076923076923078	0.23076923076923078
DeepLabV3+--ResNet50	20260822	0.25	0.5	0.9	1712	513	0.6783625730994152	0.29439252336448596	0.2605140186915888	0.20093457943925233	0.23076923076923078	0.23076923076923078	0.23076923076923078
DeepLabV3+--ResNet50	20260822	0.25	0.75	0.5	1712	513	0.2553606237816764	0.29439252336448596	0.10455607476635514	0.07476635514018691	0.23076923076923078	0.23076923076923078	0.23076923076923078
DeepLabV3+--ResNet50	20260822	0.25	0.75	0.75	1712	513	0.2553606237816764	0.29439252336448596	0.10455607476635514	0.07476635514018691	0.23076923076923078	0.23076923076923078	0.23076923076923078
