variant	setting	official_split	truth_role	minimum_instance_coverage	minimum_candidate_labeled_coverage	minimum_same_role_purity	truth_instances	recalled_instances	role_qualified_proposal_recall
original_T095_A032	T095_A032	val	weed	0.75	0.5	0.5	1808	132	0.07300884955752213
original_T095_A032	T095_A032	val	crop	0.75	0.5	0.75	451	95	0.2106430155210643
original_T095_A032	T095_A032	val	weed	0.75	0.5	0.75	1808	122	0.06747787610619468
original_T095_A032	T095_A032	val	crop	0.75	0.5	0.9	451	76	0.16851441241685144
original_T095_A032	T095_A032	val	weed	0.75	0.5	0.9	1808	121	0.06692477876106195
original_T095_A032	T095_A032	val	crop	0.75	0.75	0.5	451	41	0.09090909090909091
original_T095_A032	T095_A032	val	weed	0.75	0.75	0.5	1808	83	0.0459070796460177
original_T095_A032	T095_A032	val	crop	0.75	0.75	0.75	451	32	0.07095343680709534
original_T095_A032	T095_A032	val	weed	0.75	0.75	0.75	1808	78	0.04314159292035398
original_T095_A032	T095_A032	val	crop	0.75	0.75	0.9	451	20	0.04434589800443459
original_T095_A032	T095_A032	val	weed	0.75	0.75	0.9	1808	77	0.042588495575221236
original_T095_A032	T095_A032	test	crop	0.25	0.25	0.5	256	174	0.6796875
original_T095_A032	T095_A032	test	weed	0.25	0.25	0.5	1712	620	0.3621495327102804
original_T095_A032	T095_A032	test	crop	0.25	0.25	0.75	256	157	0.61328125
original_T095_A032	T095_A032	test	weed	0.25	0.25	0.75	1712	567	0.33119158878504673
original_T095_A032	T095_A032	test	crop	0.25	0.25	0.9	256	142	0.5546875
original_T095_A032	T095_A032	test	weed	0.25	0.25	0.9	1712	502	0.2932242990654206
original_T095_A032	T095_A032	test	crop	0.25	0.5	0.5	256	161	0.62890625
original_T095_A032	T095_A032	test	weed	0.25	0.5	0.5	1712	598	0.3492990654205608
original_T095_A032	T095_A032	test	crop	0.25	0.5	0.75	256	146	0.5703125
original_T095_A032	T095_A032	test	weed	0.25	0.5	0.75	1712	545	0.3183411214953271
original_T095_A032	T095_A032	test	crop	0.25	0.5	0.9	256	131	0.51171875
original_T095_A032	T095_A032	test	weed	0.25	0.5	0.9	1712	480	0.2803738317757009
original_T095_A032	T095_A032	test	crop	0.25	0.75	0.5	256	88	0.34375
original_T095_A032	T095_A032	test	weed	0.25	0.75	0.5	1712	439	0.2564252336448598
original_T095_A032	T095_A032	test	crop	0.25	0.75	0.75	256	85	0.33203125
original_T095_A032	T095_A032	test	weed	0.25	0.75	0.75	1712	386	0.22546728971962618
original_T095_A032	T095_A032	test	crop	0.25	0.75	0.9	256	74	0.2890625
original_T095_A032	T095_A032	test	weed	0.25	0.75	0.9	1712	321	0.1875
