variant	model	held_out_date	k	images	accepted_candidates	eligible_weed_candidates	eligible_crop_candidates	ambiguous_or_background_candidates	all_candidate_precision	queued_spatial_weed_instance_recall	queued_role_qualified_weed_instance_recall	pure_crop_scene_frequency	crop_overlap_scene_frequency_0.00	crop_overlap_scene_frequency_0.01	crop_overlap_scene_frequency_0.10	crop_overlap_scene_frequency_0.50
nested_commissioned	role_only	2023-05-25	1	48	48	0	22	26	0.0	0.0011799410029498525	0.0	0.4583333333333333	0.8958333333333334	0.8958333333333334	0.875	0.4583333333333333
nested_commissioned	role_only	2023-05-25	5	48	240	2	124	114	0.008333333333333333	0.0058997050147492625	0.0011799410029498525	0.8333333333333334	0.9791666666666666	0.9791666666666666	0.9791666666666666	0.8333333333333334
nested_commissioned	role_only	2023-05-25	10	48	480	13	204	263	0.027083333333333334	0.024188790560471976	0.006489675516224189	0.875	1.0	1.0	1.0	0.875
nested_commissioned	role_only	2023-05-25	20	48	959	23	301	635	0.023983315954118872	0.05014749262536873	0.011799410029498525	0.9375	1.0	1.0	1.0	0.9375
nested_commissioned	local_only	2023-05-25	1	48	48	1	1	46	0.020833333333333332	0.004129793510324484	0.0005899705014749262	0.020833333333333332	0.08333333333333333	0.08333333333333333	0.0625	0.020833333333333332
nested_commissioned	local_only	2023-05-25	5	48	240	8	12	220	0.03333333333333333	0.013569321533923304	0.00471976401179941	0.20833333333333334	0.3958333333333333	0.3958333333333333	0.3958333333333333	0.20833333333333334
nested_commissioned	local_only	2023-05-25	10	48	480	16	33	431	0.03333333333333333	0.02359882005899705	0.008849557522123894	0.3541666666666667	0.4791666666666667	0.4791666666666667	0.4791666666666667	0.3541666666666667
nested_commissioned	local_only	2023-05-25	20	48	959	31	95	833	0.03232533889468196	0.0471976401179941	0.01710914454277286	0.4375	0.6458333333333334	0.6458333333333334	0.6458333333333334	0.4375
nested_commissioned	role_plus_local	2023-05-25	1	48	48	1	1	46	0.020833333333333332	0.0035398230088495575	0.0005899705014749262	0.020833333333333332	0.041666666666666664	0.041666666666666664	0.041666666666666664	0.020833333333333332
nested_commissioned	role_plus_local	2023-05-25	5	48	240	9	7	224	0.0375	0.01415929203539823	0.00471976401179941	0.125	0.2916666666666667	0.2916666666666667	0.2708333333333333	0.125
nested_commissioned	role_plus_local	2023-05-25	10	48	480	16	26	438	0.03333333333333333	0.02064896755162242	0.008849557522123894	0.2916666666666667	0.4583333333333333	0.4583333333333333	0.4583333333333333	0.2916666666666667
nested_commissioned	role_plus_local	2023-05-25	20	48	959	31	90	838	0.03232533889468196	0.04837758112094395	0.01710914454277286	0.4166666666666667	0.5416666666666666	0.5416666666666666	0.5416666666666666	0.4166666666666667
nested_commissioned	role_only	2023-05-30	1	48	48	1	11	36	0.020833333333333332	0.007004532344458179	0.00041203131437989287	0.22916666666666666	0.7083333333333334	0.7083333333333334	0.7083333333333334	0.22916666666666666
nested_commissioned	role_only	2023-05-30	5	48	240	28	36	176	0.11666666666666667	0.046147507210548	0.012360939431396786	0.5	0.8125	0.8125	0.8125	0.5
nested_commissioned	role_only	2023-05-30	10	48	480	67	48	365	0.13958333333333334	0.09641532756489493	0.0288421920065925	0.5416666666666666	0.8541666666666666	0.8541666666666666	0.8541666666666666	0.5208333333333334
nested_commissioned	role_only	2023-05-30	20	48	960	116	60	784	0.12083333333333333	0.15286361763494025	0.049443757725587144	0.5625	0.8958333333333334	0.8958333333333334	0.8958333333333334	0.5625
