variant	held_out_date	truth_role	minimum_instance_coverage	minimum_candidate_labeled_coverage	minimum_same_role_purity	truth_instances	role_qualified_proposal_recall
nested_commissioned	2023-05-30	crop	0.5	0.25	0.9	520	0.676923076923077
nested_commissioned	2023-05-30	weed	0.5	0.25	0.9	2427	0.40667490729295425
nested_commissioned	2023-05-30	crop	0.5	0.5	0.5	520	0.3
nested_commissioned	2023-05-30	weed	0.5	0.5	0.5	2427	0.21672847136382364
nested_commissioned	2023-05-30	crop	0.5	0.5	0.75	520	0.2923076923076923
nested_commissioned	2023-05-30	weed	0.5	0.5	0.75	2427	0.21672847136382364
nested_commissioned	2023-05-30	crop	0.5	0.5	0.9	520	0.27307692307692305
nested_commissioned	2023-05-30	weed	0.5	0.5	0.9	2427	0.21672847136382364
nested_commissioned	2023-05-30	crop	0.5	0.75	0.5	520	0.04423076923076923
nested_commissioned	2023-05-30	weed	0.5	0.75	0.5	2427	0.04326328800988875
nested_commissioned	2023-05-30	crop	0.5	0.75	0.75	520	0.04423076923076923
nested_commissioned	2023-05-30	weed	0.5	0.75	0.75	2427	0.04326328800988875
nested_commissioned	2023-05-30	crop	0.5	0.75	0.9	520	0.04230769230769231
nested_commissioned	2023-05-30	weed	0.5	0.75	0.9	2427	0.04326328800988875
nested_commissioned	2023-05-30	crop	0.75	0.25	0.5	520	0.725
nested_commissioned	2023-05-30	weed	0.75	0.25	0.5	2427	0.30243098475484137
nested_commissioned	2023-05-30	crop	0.75	0.25	0.75	520	0.6923076923076923
nested_commissioned	2023-05-30	weed	0.75	0.25	0.75	2427	0.3003708281829419
nested_commissioned	2023-05-30	crop	0.75	0.25	0.9	520	0.5826923076923077
nested_commissioned	2023-05-30	weed	0.75	0.25	0.9	2427	0.3003708281829419
nested_commissioned	2023-05-30	crop	0.75	0.5	0.5	520	0.23846153846153847
nested_commissioned	2023-05-30	weed	0.75	0.5	0.5	2427	0.14668314791924186
nested_commissioned	2023-05-30	crop	0.75	0.5	0.75	520	0.2326923076923077
nested_commissioned	2023-05-30	weed	0.75	0.5	0.75	2427	0.14668314791924186
nested_commissioned	2023-05-30	crop	0.75	0.5	0.9	520	0.21923076923076923
nested_commissioned	2023-05-30	weed	0.75	0.5	0.9	2427	0.14668314791924186
nested_commissioned	2023-05-30	crop	0.75	0.75	0.5	520	0.021153846153846155
nested_commissioned	2023-05-30	weed	0.75	0.75	0.5	2427	0.018953440461475072
nested_commissioned	2023-05-30	crop	0.75	0.75	0.75	520	0.021153846153846155
nested_commissioned	2023-05-30	weed	0.75	0.75	0.75	2427	0.018953440461475072
nested_commissioned	2023-05-30	crop	0.75	0.75	0.9	520	0.021153846153846155
nested_commissioned	2023-05-30	weed	0.75	0.75	0.9	2427	0.018953440461475072
nested_commissioned	2023-06-06	crop	0.25	0.25	0.5	633	0.8799368088467614
nested_commissioned	2023-06-06	weed	0.25	0.25	0.5	4726	0.6112991959373677
nested_commissioned	2023-06-06	crop	0.25	0.25	0.75	633	0.6966824644549763
nested_commissioned	2023-06-06	weed	0.25	0.25	0.75	4726	0.5806178586542531
nested_commissioned	2023-06-06	crop	0.25	0.25	0.9	633	0.5387045813586098
nested_commissioned	2023-06-06	weed	0.25	0.25	0.9	4726	0.5787134997884046
nested_commissioned	2023-06-06	crop	0.25	0.5	0.5	633	0.8799368088467614
nested_commissioned	2023-06-06	weed	0.25	0.5	0.5	4726	0.564748201438849
nested_commissioned	2023-06-06	crop	0.25	0.5	0.75	633	0.6966824644549763
nested_commissioned	2023-06-06	weed	0.25	0.5	0.75	4726	0.5344900550148117
nested_commissioned	2023-06-06	crop	0.25	0.5	0.9	633	0.5387045813586098
nested_commissioned	2023-06-06	weed	0.25	0.5	0.9	4726	0.5325856961489632
nested_commissioned	2023-06-06	crop	0.25	0.75	0.5	633	0.3459715639810427
nested_commissioned	2023-06-06	weed	0.25	0.75	0.5	4726	0.30406263224714347
nested_commissioned	2023-06-06	crop	0.25	0.75	0.75	633	0.3001579778830964
nested_commissioned	2023-06-06	weed	0.25	0.75	0.75	4726	0.29475243334743967
nested_commissioned	2023-06-06	crop	0.25	0.75	0.9	633	0.2575039494470774
nested_commissioned	2023-06-06	weed	0.25	0.75	0.9	4726	0.2936944561997461
nested_commissioned	2023-06-06	crop	0.5	0.25	0.5	633	0.8483412322274881
nested_commissioned	2023-06-06	weed	0.5	0.25	0.5	4726	0.5300465509944985
nested_commissioned	2023-06-06	crop	0.5	0.25	0.75	633	0.665086887835703
nested_commissioned	2023-06-06	weed	0.5	0.25	0.75	4726	0.5
nested_commissioned	2023-06-06	crop	0.5	0.25	0.9	633	0.5071090047393365
nested_commissioned	2023-06-06	weed	0.5	0.25	0.9	4726	0.4980956411341515
nested_commissioned	2023-06-06	crop	0.5	0.5	0.5	633	0.8483412322274881
nested_commissioned	2023-06-06	weed	0.5	0.5	0.5	4726	0.4873042742276767
nested_commissioned	2023-06-06	crop	0.5	0.5	0.75	633	0.665086887835703
nested_commissioned	2023-06-06	weed	0.5	0.5	0.75	4726	0.4574693186627169
nested_commissioned	2023-06-06	crop	0.5	0.5	0.9	633	0.5071090047393365
